i,Q,genotype,core
19,0.03,"AAa_ABi_BBi",False
20,0.03,"AAa_ABi",False
21,0.03,"AAa_ABi_BBa",False
22,0.03,"AAa_BBi",False
23,0.03,"AAa",True
24,0.03,"AAa_BBa",False
25,0.03,"AAa_ABa_BBi",False
26,0.03,"AAa_ABa",False
27,0.03,"AAa_ABa_BBa",False
44,0.001,"ABa_BAa",True
45,0.001,"ABa_BAa_BBa",False
46,0.013,"AAa_ABi_BAa_BBi",False
47,0.01,"AAa_ABi_BAa",False
48,0.006,"AAa_ABi_BAa_BBa",False
49,0.01,"AAa_BAa_BBi",False
50,0.004,"AAa_BAa",False
51,0.004,"AAa_BAa_BBa",False
52,0.007,"AAa_ABa_BAa_BBi",False
53,0.006,"AAa_ABa_BAa",False
54,0.0055,"AAa_ABa_BAa_BBa",False
65,0.001,"ABi_BAi",True
66,0.013,"ABi_BAi_BBa",True
69,0.005,"BAi_BBa",True
72,0.002,"ABa_BAi_BBa",False
73,0.0325,"AAa_ABi_BAi_BBi",False
74,0.04,"AAa_ABi_BAi",True
75,0.055,"AAa_ABi_BAi_BBa",True
76,0.024,"AAa_BAi_BBi",False
77,0.025,"AAa_BAi",False
78,0.036,"AAa_BAi_BBa",True
79,0.026,"AAa_ABa_BAi_BBi",False
80,0.024,"AAa_ABa_BAi",False
81,0.028,"AAa_ABa_BAi_BBa",False